ID Real Estate Taxes Paid,Real Estate Taxes Paid,ID Year,Year,Real Estate Taxes by Mortgage,Real Estate Taxes by Mortgage Moe,Geography,ID Geography,Slug Geography,share
0,"Less Than $800",2021,"2021",10429950,34776.80750155195,"United States","01000US","united-states",0.13012687206275075
1,"$800 to $1,499",2021,"2021",12113700,43503.62642355233,"United States","01000US","united-states",0.15113379163913
2,"$1,500 to $1,999",2021,"2021",7472103,32962.8291413222,"United States","01000US","united-states",0.09322397433551417
3,"$2,000 to $2,999",2021,"2021",12033398,49362.7191815848,"United States","01000US","united-states",0.15013192220731267
4,"$3,000 or More",2021,"2021",34592093,113709.40508154986,"United States","01000US","united-states",0.4315802913910206
5,"No Real Estate Taxes Paid",2021,"2021",3510917,18480.35410916144,"United States","01000US","united-states",0.0438031483642718
0,"Less Than $800",2021,"2021",2439,405.5317496818221,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.09812520115867396
1,"$800 to $1,499",2021,"2021",2845,348.7377237982722,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.11445928548439009
2,"$1,500 to $1,999",2021,"2021",2443,352.7718809655895,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.09828612809784358
3,"$2,000 to $2,999",2021,"2021",5476,521.4920900646529,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.22030897972320568
4,"$3,000 or More",2021,"2021",10590,672.8157251432223,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.426054071451561
5,"No Real Estate Taxes Paid",2021,"2021",1063,295.85300404085814,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.042766334084325716
0,"Less Than $800",2020,"2020",10933041,41576.49616069157,"United States","01000US","united-states",0.13874175242828246
1,"$800 to $1,499",2020,"2020",12687284,46851.8859599056,"United States","01000US","united-states",0.1610033307032608
2,"$1,500 to $1,999",2020,"2020",7456713,32038.92721362562,"United States","01000US","united-states",0.09462668519899957
3,"$2,000 to $2,999",2020,"2020",12055376,49350.868786678926,"United States","01000US","united-states",0.15298433367457948
4,"$3,000 or More",2020,"2020",32307496,108348.73799449627,"United States","01000US","united-states",0.40998644490674885
5,"No Real Estate Taxes Paid",2020,"2020",3361466,18899.94290996669,"United States","01000US","united-states",0.042657453088128815
0,"Less Than $800",2020,"2020",1957,289.6377047278203,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.08202011735121542
1,"$800 to $1,499",2020,"2020",2957,351.9573837838894,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.12393126571668063
2,"$1,500 to $1,999",2020,"2020",2746,369.21809273111194,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.11508801341156748
3,"$2,000 to $2,999",2020,"2020",5302,478.13805537731463,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.22221290863369655
4,"$3,000 or More",2020,"2020",9752,630.4228739504937,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.4087175188600168
5,"No Real Estate Taxes Paid",2020,"2020",1146,308.22881111278355,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.048030176026823135
0,"Less Than $800",2019,"2019",11116778,38560.90797686175,"United States","01000US","united-states",0.14386110708541294
1,"$800 to $1,499",2019,"2019",12864206,49109.35984107306,"United States","01000US","united-states",0.16647439725204657
2,"$1,500 to $1,999",2019,"2019",7474286,34161.31920754817,"United States","01000US","united-states",0.09672398411059417
3,"$2,000 to $2,999",2019,"2019",11877218,47802.053188121536,"United States","01000US","united-states",0.15370188471648838
4,"$3,000 or More",2019,"2019",30755160,118969.237826423,"United States","01000US","united-states",0.39799943528502674
5,"No Real Estate Taxes Paid",2019,"2019",3186733,19969.552548817916,"United States","01000US","united-states",0.04123919155043118
0,"Less Than $800",2019,"2019",1857,248.8232304267429,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.08042094322463297
1,"$800 to $1,499",2019,"2019",2999,331.8870289722092,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.12987744142739596
2,"$1,500 to $1,999",2019,"2019",2735,336.88573730569243,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.11844441557316704
3,"$2,000 to $2,999",2019,"2019",5446,475.1778614371675,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.235849465159586
4,"$3,000 or More",2019,"2019",9064,530.8125846285109,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.3925338876618596
5,"No Real Estate Taxes Paid",2019,"2019",990,210.06903627141244,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.04287384695335845
0,"Less Than $800",2018,"2018",11635164,42964.70514270988,"United States","01000US","united-states",0.1522034523991884
1,"$800 to $1,499",2018,"2018",13267983,48866.32648358172,"United States","01000US","united-states",0.17356290113089431
2,"$1,500 to $1,999",2018,"2018",7253924,32426.08340518478,"United States","01000US","united-states",0.0948909939078925
3,"$2,000 to $2,999",2018,"2018",11924270,50360.791544613356,"United States","01000US","united-states",0.15598534419799068
4,"$3,000 or More",2018,"2018",29172423,107057.67718851367,"United States","01000US","united-states",0.3816141736764079
5,"No Real Estate Taxes Paid",2018,"2018",3191046,18804.818797318945,"United States","01000US","united-states",0.04174313468762628
0,"Less Than $800",2018,"2018",1597,237.73935307390738,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.08876660552498472
